categoria,rank,title,app_id,developer,developer_email,developer_website,genre,score,ratings,reviews,installs,min_installs,real_installs,free,price,currency,contains_ads,offers_iap,iap_price,content_rating,released,updated,version,android_version,summary,url,indie_score,growth_score,opportunity_score,perfil_detectado,estimated_mau,revenue_monthly_usd_low,revenue_monthly_usd_base,revenue_monthly_usd_high,profit_monthly_usd_base,revenue_monthly_brl_base,profit_monthly_brl_base,financial_confidence,review_count_collected,review_score_avg_recent,review_positive_pct,review_negative_pct,external_sources_used
Produtividade,2,Super Planner: Rotina TDAH IA,super.planner.todolist.task.reminder,Polestar App Cloner Dev.,polestar.applab@gmail.com,https://thepixieai.com/,Produtividade,4.842324,5445,305,100.000+,100000,305733,1,0,BRL,1,1,"R$ 5,49 – R$ 169,99 por item",Classificação Livre,13 de jan. de 2025,1782576802,1.5.30.0628,,"Gerencie planos, acompanhe seu humor e transforme metas em ação.",https://play.google.com/store/apps/details?id=super.planner.todolist.task.reminder&hl=pt&gl=br,100,74,97,pequeno/indie,32226,2105.3,7518.94,24436.55,4661.74,40602.26,25173.4,alta,25,4.2,76.0,12.0,"SerpAPI, ScrapingBee"
Produtividade,1,"Lista de tarefas, Lembretes",com.to_do_list_studio.uptodo,Productivity Apps Studio,taskup-support@todo-list-studio.com,https://www.todo-list-studio.com/taskup,Produtividade,4.8,1856,85,100.000+,100000,120287,1,0,BRL,1,1,"R$ 19,99 – R$ 119,99 por item",Classificação Livre,27 de jul. de 2024,1783023056,1.13.3,,"Organizador de rotina & Lista de tarefas,Lembretes & Planejamento semanal,Agenda",https://play.google.com/store/apps/details?id=com.to_do_list_studio.uptodo&hl=pt&gl=br,100,72,97,pequeno/indie,12035,630.01,2250.03,7312.61,1395.02,12150.18,7533.11,média,25,4.6,96.0,4.0,"SerpAPI, ScrapingBee"
Comunicação,4,JusTalk Family Messenger,com.justalk.family.android,JusTalk,support@justalk.com,,Comunicação,4.84,1639,28,100.000+,100000,171466,1,0,BRL,0,1,"R$ 109,99 – R$ 679,99 por item",Classificação Livre,5 de jul. de 2024,1783091607,1.14.1,,"Compartilhe locais, chamadas, vídeos e álbuns de família com seus entes queridos",https://play.google.com/store/apps/details?id=com.justalk.family.android&hl=pt&gl=br,100,72,97,pequeno/indie,14587,1597.22,5704.35,18539.14,3536.7,30803.49,19098.16,média,25,4.36,84.0,12.0,"SerpAPI, ScrapingBee"
Saúde e Fitness,21,FitnessAI: Gym Workout Planner,com.fitnessai.android,appexgroup,hello@fitnessai.com,https://fitnessai.com,Saúde e fitness,4.6666665,1270,1,50.000+,50000,86971,1,0,BRL,0,1,"R$ 60,99 – R$ 489,99 por item",Classificação Livre,19 de nov. de 2024,1782112006,20.2,,"Ginásio com IA inteligente e exercícios em casa para resultados mais rápidos de força, condicionamento físico e saúde",https://play.google.com/store/apps/details?id=com.fitnessai.android&hl=pt&gl=br,100,71,96,pequeno/indie,8540,1358.76,4852.71,15771.32,3008.68,26204.65,16246.88,média,1,2.0,0.0,100.0,"SerpAPI, ScrapingBee"
Quadrinhos,6,Leitor de Quadrinhos CBR CBZ,com.madmustachecompany.comic.book.manga.reader,Mad Mustache Company,madmustachecompany@gmail.com,,Quadrinhos,4.6,542,37,100.000+,100000,142820,1,0,BRL,0,1,"R$ 9,99 – R$ 384,99 por item",Classificação Livre,30 de jun. de 2024,1782709932,1.33.0,,"O aplicativo para leitura de quadrinhos: abra arquivos ZIP, RAR, CBZ, CBR e PDF",https://play.google.com/store/apps/details?id=com.madmustachecompany.comic.book.manga.reader&hl=pt&gl=br,100,70,96,pequeno/indie,14430,1206.97,4310.59,14009.42,2672.57,23277.18,14431.85,média,25,3.72,64.0,28.0,"SerpAPI, ScrapingBee"
Android Wear,12,Mostradores para Wear OS,com.alexeymorozua.splittimeface,Time Design LLC,watchfacemanager.dev@gmail.com,https://time-design.web.app/time_design.html,Personalização,4.76,6168,6,100.000+,100000,180589,1,0,BRL,0,1,"R$ 9,99 – R$ 209,99 por item",Classificação Livre,2 de jan. de 2025,1779902151,Varies with device,,"400+ Mostradores e Faces para Galaxy Watch 8, Ultra, Pixel Watch 4 e Wear OS",https://play.google.com/store/apps/details?id=com.alexeymorozua.splittimeface&hl=pt&gl=br,100,71,96,pequeno/indie,15408,717.74,2563.36,8330.91,1589.28,13842.13,8582.12,alta,6,3.67,66.7,33.3,"SerpAPI, ScrapingBee"
Ferramentas,7,Indie Jonas. Great Tomb Raider,com.Stannum.IndieJonasthegreattombraider,Sn50 Games,sn50gamestudio@gmail.com,https://cas.ai/,Aventura,4.56,1486,82,100.000+,100000,175669,1,0,BRL,1,0,,Classificação Livre,30 de nov. de 2024,1782482494,0.41,,"Explore tumba antigas, resolva quebra-cabeças, encontre tesouros.",https://play.google.com/store/apps/details?id=com.Stannum.IndieJonasthegreattombraider&hl=pt&gl=br,100,66,95,pequeno/indie,15264,18.25,65.16,211.78,31.28,351.88,168.9,média,25,4.6,88.0,4.0,"SerpAPI, ScrapingBee"
Livros e Referências,19,Readest,com.bilingify.readest,Readest,support@readest.com,https://readest.com,Livros e referências,4.5,953,35,100.000+,100000,122457,1,0,BRL,0,1,"R$ 26,99 – R$ 269,99 por item",Classificação Livre,20 de jun. de 2025,1782700468,0.11.17,,Experimente o melhor leitor de e-books em todos os seus dispositivos para leitores ávidos,https://play.google.com/store/apps/details?id=com.bilingify.readest&hl=pt&gl=br,100,65,95,pequeno/indie,12265,771.32,2754.71,8952.82,1707.92,14875.46,9222.78,média,25,4.32,76.0,12.0,"SerpAPI, ScrapingBee"
Saúde e Fitness,23,Tecnofit para Personal Trainer,br.com.tecnofit.AppPersonal,Tecnofit Tecnologia e Sistemas,contato@tecnofit.com.br,http://www.tecnofit.com.br,Saúde e fitness,4.6351037,8738,936,100.000+,100000,358725,1,0,BRL,0,1,"R$ 0,99 – R$ 299,99 por item",Classificação Livre,27 de mar. de 2019,1780080505,9.5.31,,App GRATUITO para gestão de treinos para Personal Trainer e Consultorias Online.,https://play.google.com/store/apps/details?id=br.com.tecnofit.AppPersonal&hl=pt&gl=br,100,60,94,pequeno/indie,31783,2762.27,9865.26,32062.1,6116.46,53272.41,33028.9,alta,25,2.64,32.0,52.0,"SerpAPI, ScrapingBee"
Entretenimento,7,IndicaAi: Filmes e Séries,com.indicaaibrasil,IndicaAi,indicaai.suporte@protonmail.com,http://meu-app.click/,Entretenimento,4.847555,17938,7507,100.000+,100000,387384,1,0,BRL,1,0,,Classificação Livre,13 de set. de 2025,1782067493,2.1.4,,Guia estilo Megaflix e Cine Vision. Ache lançamentos e onde assistir legalmente.,https://play.google.com/store/apps/details?id=com.indicaaibrasil&hl=pt&gl=br,100,63,94,pequeno/indie,41358,27.46,98.09,318.78,47.08,529.66,254.24,alta,25,4.88,96.0,0.0,"SerpAPI, ScrapingBee"
