categoria,rank,title,app_id,developer,developer_email,developer_website,genre,score,ratings,reviews,installs,min_installs,real_installs,free,price,currency,contains_ads,offers_iap,iap_price,content_rating,released,updated,version,android_version,summary,url,indie_score,growth_score,opportunity_score,perfil_detectado,estimated_mau,revenue_monthly_usd_low,revenue_monthly_usd_base,revenue_monthly_usd_high,profit_monthly_usd_base,revenue_monthly_brl_base,profit_monthly_brl_base,financial_confidence,review_count_collected,review_score_avg_recent,review_positive_pct,review_negative_pct,external_sources_used
Finanças,8,Investidor10 - Bolsa e Mercado,com.investidor10app,Investidor10,contato@investidor10.com.br,https://investidor10.com.br/,Finanças,4.8543124,43661,6004,500.000+,500000,792075,1,0,BRL,0,1,"R$ 19,90 – R$ 238,80 por item",Classificação Livre,22 de dez. de 2023,1781287567,1.1.27,,"Gestão de Investimentos, Agenda de Dividendos, Análise de Ações, FIIs e Stocks.",https://play.google.com/store/apps/details?id=com.investidor10app&hl=pt&gl=br,84,64,91,pequeno/indie,87812,10057.98,35921.35,116744.4,22271.24,193975.31,120264.69,alta,25,4.92,100.0,0.0,"SerpAPI, ScrapingBee"
Finanças,9,Minhas Finanças: Controle e IA,cicero.minhasfinancas,Nimtech TI,suporte@minhasfinancas.app.br,https://minhasfinancas.app.br/,Finanças,4.8283534,119759,33474,1.000.000+,1000000,3377876,1,0,BRL,1,1,"R$ 1,99 – R$ 399,90 por item",Classificação Livre,19 de jan. de 2013,1782869007,7.1.4,,Tudo fica mais fácil quando você entende pra onde vai seu dinheiro!,https://play.google.com/store/apps/details?id=cicero.minhasfinancas&hl=pt&gl=br,39,65,62,crescendo,402568,72190.76,257824.15,837928.48,159850.97,1392250.4,863195.25,alta,25,4.2,80.0,16.0,"SerpAPI, ScrapingBee"
Finanças,7,Paraná Banco – Investimentos,br.paranabanco.app,Parana Banco S/A,investimentos@paranabanco.com.br,https://www.paranabancoinvestimentos.com.br/,Finanças,3.6,425,236,100.000+,100000,101336,1,0,BRL,0,0,,Classificação Livre,27 de jun. de 2017,1782328193,3.204.0,,Baixe o app e conte com uma curadoria em Renda Fixa e Fundos de Investimento.,https://play.google.com/store/apps/details?id=br.paranabanco.app&hl=pt&gl=br,100,41,53,pequeno/indie,9127,0.0,0.0,0.0,0.0,0.0,0.0,média,25,2.64,40.0,56.0,"SerpAPI, ScrapingBee"
Finanças,6,BTG Pactual Investimentos,com.btg.pactual.digital.mobile,Banco BTG Pactual S.A.,atendimentoinvestimentos@btgpactual.com,https://www.btgpactualdigital.com,Finanças,4.6199365,83039,21741,5.000.000+,5000000,9665735,1,0,BRL,0,0,,Classificação Livre,7 de jun. de 2016,1781824998,9.6.120,,Invista com o BTG Pactual Investimentos em renda fixa e variável,https://play.google.com/store/apps/details?id=com.btg.pactual.digital.mobile&hl=pt&gl=br,49,64,46,normal,1210199,0.0,0.0,0.0,0.0,0.0,0.0,média,25,3.08,48.0,48.0,"SerpAPI, ScrapingBee"
Finanças,10,Safra: investimentos e conta,br.livetouch.safra.net,Banco Safra SA.,contatos@safra.com.br,http://www.safranet.com.br,Finanças,4.075416,10374,5499,1.000.000+,1000000,3873848,1,0,BRL,0,0,,Classificação Livre,25 de mai. de 2015,1779375981,5.21.4,,"Conta completa com investimentos, cartões e benefícios exclusivos em um só app.",https://play.google.com/store/apps/details?id=br.livetouch.safra.net&hl=pt&gl=br,69,44,38,normal,352060,0.0,0.0,0.0,0.0,0.0,0.0,média,25,2.44,32.0,60.0,"SerpAPI, ScrapingBee"
Finanças,2,Yahoo Finanças,com.yahoo.mobile.client.android.finance,Yahoo,finance.support@yahooinc.com,https://mobile.yahoo.com/finance,Finanças,4.7952757,241521,1200,10.000.000+,10000000,25031864,1,0,BRL,1,0,,Classificação Livre,10 de nov. de 2014,1782513164,26.12.1,,"Siga suas ações favoritas, índices, e criptomoedas.",https://play.google.com/store/apps/details?id=com.yahoo.mobile.client.android.finance&hl=pt&gl=br,19,65,37,crescendo,3270666,4541.2,16218.58,52710.38,7784.92,87580.33,42038.56,alta,25,4.76,92.0,4.0,"SerpAPI, ScrapingBee"
Finanças,1,Investimentos BB Taxa Zero,br.com.bb.investimentosbb,Banco do Brasil SA,atende.investimentos@bb.com.br,https://investimentos.bb.com.br,Finanças,4.624371,43893,9325,1.000.000+,1000000,2659433,1,0,BRL,0,0,,Classificação Livre,4 de mar. de 2017,1782497606,4.8.0,,"Seu jeito de investir com segurança e corretagem zero em ações, ETFs e FIIs.",https://play.google.com/store/apps/details?id=br.com.bb.investimentosbb&hl=pt&gl=br,0,45,29,gigante,313300,0.0,0.0,0.0,0.0,0.0,0.0,média,25,4.28,76.0,16.0,"SerpAPI, ScrapingBee"
Finanças,5,Investing.com Bolsa de Valores,com.fusionmedia.investing,INVESTING.com,mobile@investing.com,https://www.investing.com,Finanças,4.8008637,1066939,22454,50.000.000+,50000000,75200944,1,0,BRL,1,1,"R$ 0,99 – R$ 1.679,76 por item",Classificação Livre,12 de set. de 2013,1782737998,6.48.1,,"Informações sobre ações em tempo real — gráficos, cotações e notícias.",https://play.google.com/store/apps/details?id=com.fusionmedia.investing&hl=pt&gl=br,0,45,27,gigante,10299983,215450.84,769467.3,2500768.72,477069.72,4155123.4,2576176.51,alta,25,4.84,96.0,4.0,"SerpAPI, ScrapingBee"
Finanças,4,XP Investimentos,br.com.xp.carteira,XP INVESTIMENTOS CCTVM S.A.,appxpinvestimentos@xpi.com.br,http://www.xpi.com.br,Finanças,3.8714817,313069,79737,10.000.000+,10000000,10529524,1,0,BRL,0,0,,Classificação Livre,26 de jan. de 2018,1782649652,4.167.0,,"Investimento, conta digital, Pix, pagamentos e mais em um só app.",https://play.google.com/store/apps/details?id=br.com.xp.carteira&hl=pt&gl=br,19,49,0,normal,1203197,0.0,0.0,0.0,0.0,0.0,0.0,média,25,2.68,40.0,56.0,"SerpAPI, ScrapingBee"
Finanças,3,Rico: só vantagem pra investir,br.com.rico.mobile,RICO.COM.VC,avaliacaoapp@rico.com.vc,http://www.rico.com.vc,Finanças,3.9435127,270103,94622,10.000.000+,10000000,11554689,1,0,BRL,0,0,,Classificação Livre,3 de ago. de 2016,1782605632,4.167.0,,Rentabilíssimas: produtos exclusivos de renda fixa com rentabilidade imbatível!,https://play.google.com/store/apps/details?id=br.com.rico.mobile&hl=pt&gl=br,19,49,0,normal,1325936,0.0,0.0,0.0,0.0,0.0,0.0,média,25,2.56,40.0,56.0,"SerpAPI, ScrapingBee"
