categoria,rank,title,app_id,developer,developer_email,developer_website,genre,score,ratings,reviews,installs,min_installs,real_installs,free,price,currency,contains_ads,offers_iap,iap_price,content_rating,released,updated,version,android_version,summary,url,indie_score,growth_score,opportunity_score,perfil_detectado,estimated_mau,revenue_monthly_usd_low,revenue_monthly_usd_base,revenue_monthly_usd_high,profit_monthly_usd_base,revenue_monthly_brl_base,profit_monthly_brl_base,financial_confidence,review_count_collected,review_score_avg_recent,review_positive_pct,review_negative_pct,external_sources_used
"Busca: ""rifa""",6,Rifa Rápida: Criar rifa fácil,br.com.b8.raffle,B8 play,leonardo.santana.suporte@gmail.com,https://b8-play-fc04f.web.app,Ferramentas,4.7924943,9333,735,500.000+,500000,604459,1,0,BRL,1,1,"R$ 9,99 – R$ 89,99 por item",Classificação Livre,16 de nov. de 2023,1783640309,4.8.2,,Aplicativo completo para criação de rifas - Baixe agora,https://play.google.com/store/apps/details?id=br.com.b8.raffle&hl=pt&gl=br,94,63,93,pequeno/indie,66075,1442.75,5152.69,16746.25,3194.67,27824.54,17251.22,alta,150,4.46,83.3,10.0,"SerpAPI, Brave Search, Firecrawl, DevSite:Firecrawl"
"Busca: ""rifa""",12,"Sorteador: rifas, números e +",br.com.well.sortear,Maxwell Freire,maxwell201414@gmail.com,https://maxwellplaypoliticaprivacidade.blogspot.com/,Ferramentas,4.790944,10503,5322,500.000+,500000,738023,1,0,BRL,1,1,"R$ 2,99 – R$ 4,99 por item",Classificação Livre,9 de abr. de 2020,1776653180,137.0,,Agora ficou mais fácil sortear diversos tipos de sorteios em um só aplicativo.,https://play.google.com/store/apps/details?id=br.com.well.sortear&hl=pt&gl=br,94,56,91,pequeno/indie,67934,145.37,519.17,1687.3,321.89,2803.51,1738.18,alta,150,4.77,96.0,3.3,"SerpAPI, Brave Search, Firecrawl, DevSite:ScrapingAnt"
"Busca: ""rifa""",3,Rifa Fácil: Sorteio Online,com.code2apps.rifa,Code Fusion Tech,codefusiontechsolutions@gmail.com,https://codefusion.digital,Ferramentas,4.452145,10221,482,500.000+,500000,535429,1,0,BRL,0,1,"R$ 4,99 – R$ 99,99 por item",Classificação Livre,20 de ago. de 2023,1781051514,1.3.66,,Gerador de 100 números de sorteios cartelas e bilhetes e nome personalizado,https://play.google.com/store/apps/details?id=com.code2apps.rifa&hl=pt&gl=br,94,54,91,pequeno/indie,44058,979.41,3497.88,11368.12,2168.69,18888.56,11710.91,alta,150,4.23,79.3,16.0,"SerpAPI, Brave Search, Firecrawl, DevSite:Firecrawl"
"Busca: ""rifa""",24,Sorteio de Nomes: Sorteador,com.code2apps.sorteiodenomes,Code2Apps+,kingsoftwaredevelopment@gmail.com,https://sorteiodenomes.code2apps.com/,Ferramentas,4.7448277,7443,395,1.000.000+,1000000,1612238,1,0,BRL,1,1,"R$ 5,99 – R$ 69,99 por item",Classificação Livre,10 de abr. de 2022,1782496909,2.1.26,,Sortear prêmios e rifa online: Gerador de nome e times aleatórios para sorteios,https://play.google.com/store/apps/details?id=com.code2apps.sorteiodenomes&hl=pt&gl=br,79,61,89,pequeno/indie,185307,3104.42,11087.22,36033.47,6874.08,59871.0,37120.02,alta,150,3.35,57.3,38.0,"SerpAPI, Brave Search, Firecrawl, DevSite:Firecrawl"
"Busca: ""rifa""",7,Rifa Online Digital de Grupo,com.codefusion.rifadigital,Code Fusion Tech,codefusiontechsolutions@gmail.com,https://codefusion.digital/,Ferramentas,4.72093,2640,326,50.000+,50000,77641,1,0,BRL,0,1,"R$ 7,99 – R$ 3.999,99 por item",Classificação Livre,19 de ago. de 2025,,Varies with device,,Organizador de rifas virtuais para arrecadação fácil e transparente,https://play.google.com/store/apps/details?id=com.codefusion.rifadigital&hl=pt&gl=br,100,29,86,pequeno/indie,6311,64.73,231.17,751.3,143.32,1248.31,773.95,média,150,4.17,78.7,18.0,"SerpAPI, Brave Search, Firecrawl, DevSite:Firecrawl"
"Busca: ""rifa""",9,Chá Rifa de Fraldas,br.com.costaw.charifa,costaw,contato@costaw.com.br,https://costaw.com.br,Ferramentas,4.5454545,1097,109,100.000+,100000,115270,1,0,BRL,1,0,,Classificação Livre,2 de nov. de 2023,,Varies with device,,Crie seu Chá Rifa de Fraldas para Bebê,https://play.google.com/store/apps/details?id=br.com.costaw.charifa&hl=pt&gl=br,100,22,84,pequeno/indie,9588,4.17,14.88,48.37,7.14,80.37,38.58,média,109,3.9,69.7,23.9,"SerpAPI, Brave Search, Firecrawl, DevSite:Firecrawl"
"Busca: ""rifa""",32,Cifras - App Oficial,br.com.petaxxon.cifras,Petaxxon,suporte@petaxxon.com.br,https://www.petaxxon.com.br,Música e áudio,4.665509,9103,4412,500.000+,500000,550180,1,0,BRL,1,0,,Classificação Livre,30 de nov. de 2017,1756756166,1.13.6,,Toque milhares de músicas com cifras e tablaturas com o App Oficial do Cifras.,https://play.google.com/store/apps/details?id=br.com.petaxxon.cifras&hl=pt&gl=br,84,35,83,pequeno/indie,49871,21.68,77.42,251.6,37.16,418.05,200.66,alta,150,4.46,86.7,9.3,"SerpAPI, Brave Search, Firecrawl, DevSite:Firecrawl"
"Busca: ""rifa""",19,Chá Rifa: chá rifa de fraldas,com.charifacdk,CDK Tec,cdktecnologias@gmail.com,https://charifapro-9ea40.web.app/,Criação de filhos,4.4117646,251,132,100.000+,100000,196295,1,0,BRL,1,1,"R$ 4,99 – R$ 52,99 por item",Classificação Livre,8 de set. de 2022,,Varies with device,,Organize seu chá rifa de fraldas com este aplicativo e ganhe muitas fraldas.,https://play.google.com/store/apps/details?id=com.charifacdk&hl=pt&gl=br,100,19,83,pequeno/indie,15297,129.58,462.77,1504.02,286.92,2498.98,1549.37,média,132,4.39,82.6,9.8,"SerpAPI, Brave Search, Firecrawl, DevSite:Firecrawl"
"Busca: ""rifa""",13,Me Rifan - Rifa Digital Fácil,dev.luisbytes.merifan,Lubytes,support@lubytes.com,https://lubytes.com,Ferramentas,4.2352943,5116,3,100.000+,100000,276008,1,0,BRL,1,1,"R$ 2,69 – R$ 65,99 por item",Classificação Livre,4 de mai. de 2024,1783798122,1.29.2,,Talão virtual de rifas,https://play.google.com/store/apps/details?id=dev.luisbytes.merifan&hl=pt&gl=br,100,46,82,pequeno/indie,26301,398.09,1421.75,4620.69,881.49,7677.46,4760.02,alta,3,2.67,33.3,33.3,"SerpAPI, Brave Search, Firecrawl, DevSite:Firecrawl"
"Busca: ""rifa""",8,"Sorteio Fácil - Números, nomes",br.com.brunosoaresnepomuceno.sorteiofacil,happ,brunossn@gmail.com,,Ferramentas,4.590844,8332,803,1.000.000+,1000000,1480344,1,0,BRL,1,1,"R$ 9,99 por item",Classificação Livre,23 de set. de 2020,1622408343,19.0.0,,"Sorteie números, nomes, times, loteria e dados com o app mais fácil para Android",https://play.google.com/store/apps/details?id=br.com.brunosoaresnepomuceno.sorteiofacil&hl=pt&gl=br,90,25,82,pequeno/indie,141186,452.34,1615.51,5250.42,1001.62,8723.77,5408.74,alta,150,3.62,63.3,30.7,"SerpAPI, Brave Search, Firecrawl"
"Busca: ""rifa""",2,Rifa Fácil: Números e Nomes,br.com.costaw.rifafacil,costaw,contato@costaw.com.br,https://costaw.com.br,Ferramentas,4.8186045,6310,806,500.000+,500000,660125,1,0,BRL,1,1,"R$ 19,99 – R$ 99,99 por item",Classificação Livre,3 de nov. de 2023,,Varies with device,,Crie rifas de números ou nomes e compartilhe link para marcação automática,https://play.google.com/store/apps/details?id=br.com.costaw.rifafacil&hl=pt&gl=br,84,31,82,pequeno/indie,60411,1030.86,3681.65,11965.36,2282.62,19880.9,12326.16,alta,150,4.38,82.7,10.7,"SerpAPI, Brave Search, Firecrawl, DevSite:Firecrawl"
"Busca: ""rifa""",23,"Sorteios: Nomes, Números, Rifa",com.wgapps.sorteios,Lifepower Studios,lifepowerstudios@gmail.com,https://lifepowerstudios.com/,Ferramentas,4.4545455,18,1,1.000+,1000,2764,1,0,BRL,1,1,"R$ 7,49 – R$ 96,99 por item",Classificação Livre,18 de jul. de 2025,1775165082,1.5.1,,"Sorteador de nomes, números e rifas. Crie times para amigo secreto e jogos",https://play.google.com/store/apps/details?id=com.wgapps.sorteios&hl=pt&gl=br,100,49,81,pequeno/indie,164,3.4,12.15,39.49,7.53,65.61,40.68,baixa,1,5.0,100.0,0.0,"SerpAPI, Brave Search, Firecrawl, DevSite:Firecrawl"
"Busca: ""rifa""",16,Raffle Wheel Generator,com.wheelspin.app,Quizzard Exam Preparation,apperturelabs29@gmail.com,,Casuais,4.3636365,645,1,50.000+,50000,66800,1,0,BRL,1,1,"R$ 17,99 por item",Classificação Livre,23 de abr. de 2024,1733114527,1.0.4,,O melhor criador de rifas personalizadas do mundo,https://play.google.com/store/apps/details?id=com.wheelspin.app&hl=pt&gl=br,100,21,76,pequeno/indie,4159,24.93,89.05,289.42,55.21,480.88,298.15,média,1,3.0,0.0,0.0,"SerpAPI, Brave Search, Firecrawl"
